Particular,Unit,5m,7m
$A_R$,area,0.04124,0.07778
$A_XV$,area,0.5938,1.120
$A_YV$,area,3.396,6.405
$B$,length,0.9466,1.3
$CB$,-,0.4503,0.4503
$D$,length,0.1214,0.1667
$I_z$,inertia moment,693.1,3430.
$L$,length,5.015,6.887
$T$,length,0.2063,0.2833
$b_R$,length,0.1743,0.2393
$m$,mass,441.0,1157.
$n_prop$,-,2.,2.
$rho$,density,1000.,1013.
$rho_A$,density,1.225,1.241
$scale_factor$,-,41.2,30.
$tdf$,-,0.117,0.117
$volume$,volume,0.4410,1.142
$w_p0$,-,0.151,0.151
$x_G$,length,-0.2399,-0.3295
$x_p$,length,-2.422,-3.326
$x_r$,length,-2.507,-3.493
